name,adset_name,campaign_name,event_date,sum,revenue
,,NDPA_NS_ASC_100%New_Obj_Pur,2024-01-29 00:00:00,101831.04,106356.11867646900
,,DPA_AppUpsellNew_Pur,2024-02-02 00:00:00,181147.6,802887.6920828980
,,NDPA_NS_LAiOSPurchsedGT5000_180D_LC,2024-02-01 00:00:00,19897.52,55425.242765277900
,,NDPA_NS_LAInstallednotPurchsed_15D_Pur,2024-02-02 00:00:00,100720.68,81630.9372362995
,,DPA_APP_AFCart_abondaners_Android,2024-01-28 00:00:00,102737.58,375191.4512119430
,,NDPA_NS_LAWinterwearBuyer_Pur,2024-01-29 00:00:00,103083.19,289378.8542527820
,,NDPA_NS_LABuyers_ROI_HunterF_18-65_OBJ-Pur,2024-02-01 00:00:00,19940.07,34684.42722854210
,,NDPA_NS_Buyer_Lookalike_M_0-5_OBJ-Pur_Duplicate,2024-01-27 00:00:00,19050.85,44590.489133329
,,NDPA_NS_Buyers_Lapsed_F_18-65_OBJ-VC_Duplicate_D2,2024-01-30 00:00:00,10079.7,17546.606999091400
,,NDPA_NS_ASC_100%New_Obj_Pur,2024-02-02 00:00:00,99311.0,155943.29375469100
,,NDPA_NS_Buyers_Lapsed_M_18-65_OBJ-VC_Duplicate_iOS_LC,2024-01-29 00:00:00,100656.07,109727.9397889660
,,DPA_gt-All_t-EB0AppVisitor_ds-Lockdown,2024-01-28 00:00:00,102639.93,210611.04983253500
,,DPA_gt-All_t-AppCrosssell_ds-Lockdown_BidCap_2_LC_iOS,2024-01-28 00:00:00,20128.87,30437.122890908300
,,DPA_AppTrendsBrand_Pur,2024-01-29 00:00:00,81676.98,294083.31849850300
,,NDPA_NS_ASC_100%New_Obj_Pur,2024-02-01 00:00:00,99982.57,360207.33892724100
,,DPA_APP_AFRecent_Inactive_HLTV_Android,2024-02-02 00:00:00,101609.76,276742.07973392100
,,DPA_gt-All_t-EB0AppA2C_ds-Lockdown,2024-01-29 00:00:00,61849.7,250923.6465660280
,,DPA_AppBBSBuyers_BlackFriday_Pur_Andr,2024-01-29 00:00:00,126803.57,553263.0032311580
,,DPA_gt-F_t-AppA2C_ds-Lockdown,2024-01-27 00:00:00,77868.68,241386.14229956400
,,DPA_gt-F_t-AppVisitors_ds-Lockdown,2024-01-29 00:00:00,10149.45,33382.28921956520
,,DPA_gt-All_t-iOS_VC_Last90days,2024-02-01 00:00:00,451195.56,751765.7258885220
,,DPA_gt-F_t-AppA2C_ds-Lockdown,2024-01-31 00:00:00,50252.67,232250.97169118600
,,NDPA_NS_Buyers_Lapsed_F_18-65_OBJ-VC_Duplicate_D2_iOS_LC,2024-02-02 00:00:00,151584.04,63195.41826316130
,,DPA_APP_AFCart_abondaners_iOS,2024-01-31 00:00:00,29987.97,59482.16235867680
,,NDPA_gt-All_t-LA0RRLAudience_ds-Lockdown,2024-02-03 00:00:00,9474.29,35868.23361143410
,,DPA_gt-F_t-AppVisitors_ds-Lockdown,2024-01-31 00:00:00,10020.97,6882.229397451940
,,DPA_APP_AFCart_abondaners_iOS,2024-01-27 00:00:00,29143.13,34522.81877538310
,,DPA_gt-All_t-AppCrossSellKids_ds-Lockdown_D_CBO,2024-02-02 00:00:00,151558.55,476785.81418755300
,,DPA_AppCrossSell_NewArrival_Pur,2024-01-27 00:00:00,126875.43,381187.43428213300
,,DPA_gt-All_t-AppUpsell_ds-Lockdown,2024-01-27 00:00:00,290536.98,1123961.5620898400
,,BI_gt-All_t-AAA_ds-Lockdown_Duplicate,2024-02-01 00:00:00,24884.38,105121.97400681200
,,BI_gt-All_t-AAA_feed_ds-Value,2024-01-29 00:00:00,12185.48,11222.336900207100
,,DPA_AppUpSell_Discounted_Pur,2024-02-01 00:00:00,80474.26,31285.88171494710
,,NDPA_NS_LABBSBuyers_Clearance_Pur,2024-01-27 00:00:00,125514.65,455684.3462684090
,,DPA_AppBBSBuyers_BlackFriday_Pur_Andr,2024-02-02 00:00:00,151414.31,265813.2436588020
,,NDPA_NS_Buyer_Lookalike_F_0-5_OBJ-Pur_Duplicate,2024-01-27 00:00:00,19464.37,64682.33641248650
,,NDPA_NS_Buyers_Lapsed_F_18-65_OBJ-VC_Duplicate_D2,2024-02-01 00:00:00,9998.08,10268.399821032700
,,NDPA_NS_Buyer_Lookalike_M_0-5_OBJ-Pur_Duplicate,2024-01-31 00:00:00,20065.83,51472.32713664320
